RawMaterial Id,Mass KG/Per 1M,Price per KG in SEK
2000000002,4.83,10
2000000006,7.56,10
2000000007,2.99,10
2000000009,22.22,10
2000000010,12.5,10
2000000022,9.88,10
2000000023,26.08,10
2000000017,26.08,20
2000000016,16.8,20
2000000014,16.69,20
2000000015,22.22,20
2000000000,4.83,10
2000000001,7.55,10
2000000004,3.85,10
2000000008,2.47,10
2000000011,13.06,10
2000000012,10.38,10
2000000013,19.02,10
2000000019,23.73,10
2000000020,13.1,10
2000000003,5.55,20
2000000018,15.43,20
2000000024,22.22,20
2000000005,5.55,20
2000000021,12.85,20